,TSLA,INTC,AMD,AAPL,MSFT,SPY,GOOG,FB,IBM
2014-05-19,39.218,21.8106220925,4.09,19.486432174,34.8748391164,166.017205437,528.86,59.21,143.840569743
2014-05-20,39.06,21.8106220925,4.05,19.4902998726,34.8134243053,164.970471971,529.77,58.56,142.217555827
2014-05-21,39.89,21.9446351315,4.1,19.5418691864,35.4012517823,166.36025254,538.94,60.49,143.371357189
2014-05-22,40.976000000000006,21.902756056799998,4.01,19.5728107748,35.1819131715,166.764872199,545.06,60.52,142.825224545
2014-05-23,41.46,22.0191798844,4.02,19.793914208,35.1994602603,167.433374245,552.7,61.351000000000006,143.025216781
2014-05-27,42.312,22.371801693200002,4.04,20.1645686515,35.2608750714,168.462515552,565.95,63.48,142.132943728
2014-05-28,42.048,22.5141905471,4.0,20.1123547212,35.1029512716,168.339370439,561.68,63.51,140.825302184
2014-05-29,42.048,22.581197066599998,4.03,20.478819158,35.3924782378,169.210182314,560.08,63.83,141.348358802
2014-05-30,41.554,22.8827264042,4.0,20.4021098036,35.9188909038,169.48286078,559.89,63.3,141.809879346
2014-06-02,40.94,22.8324715146,3.97,20.2619057315,35.7872877373,169.67637453,553.93,63.08,142.832916554
2014-06-03,40.988,23.1675041121,3.94,20.5484377317,35.3486105157,169.588413735,544.94,62.87,141.817571355
2014-06-04,40.798,23.117249222399998,4.04,20.7830781099,35.374931149,169.931460837,544.66,63.34,141.925259482
2014-06-05,41.38,23.1675041121,4.08,20.8646220874,36.1557766034,171.039766861,553.9,63.18600000000001,143.055984817
2014-06-06,41.6342,23.5946706738,4.06,20.807251225799998,36.392662303099996,171.857802259,556.33,62.5,143.35597317100002
2014-06-09,41.062,23.3768994855,4.07,21.1402167487,36.20841787,172.03372385,562.12,62.88,143.240593035
2014-06-10,40.46,23.6533013783,4.2,21.2643055343,36.0680411591,172.051316009,560.55,65.77,141.756035283
2014-06-11,40.894,23.393651115300003,4.29,21.1763153045,35.8487025483,171.4531826,558.84,65.781,140.186865431
2014-06-12,40.704,23.4187785601,4.29,20.822098225599998,35.6030433042,170.239323622,551.35,64.2901,139.394588496
2014-06-13,41.284,23.4187785601,4.28,20.594226092,36.1733236923,170.758292315,551.76,64.5,140.425317712
2014-06-16,44.922,25.1358206219,4.44,20.801792788,36.410209391900004,170.899029588,544.28,64.19,140.263785522
2014-06-17,46.334,25.0855657323,4.47,20.7747188711,36.5681331917,171.37401788399998,543.01,64.4,140.19455744
2014-06-18,45.424,25.0688141025,4.4,20.7972804685,36.541812558400004,172.63185725900001,553.37,65.6,141.225286656
2014-06-19,45.558,25.2028271414,4.36,20.7250833568,36.4189829364,172.82537101,554.9,64.3415,140.625309948
2014-06-20,45.918,25.2949611057,4.1,20.510748181700002,36.5681331917,173.17430268900003,556.36,64.5,139.648424796
2014-06-23,47.444,25.320088550500003,4.01,20.4926989038,36.8401130691,173.12127391400003,564.95,65.37,140.10225333100001
2014-06-24,46.5,25.546235553800006,3.94,20.3686101182,36.625161230500005,172.078374674,564.62,65.72,139.133060187
2014-06-25,47.3782,25.8645165213,3.96,20.3866593961,36.875207246799995,172.85613004,578.65,67.44,139.009988042
2014-06-26,47.12,25.780758371999998,4.03,20.508492022000002,36.6032273694,172.732396231,576.0,67.13,138.740767725
2014-06-27,47.812,25.906395596,4.11,20.7521572737,37.0682252243,173.06824513900003,577.24,67.6,139.771496941
2014-06-30,48.012,25.8812681512,4.19,20.966492448900002,36.5856802806,172.97986384799995,575.28,67.29,139.433048541
2014-07-01,47.944,25.948274670700002,4.22,21.099605873399998,36.7348305359,174.137658767,582.67,68.06,143.340589153
2014-07-02,45.885,25.948274670700002,4.34,21.0905812345,36.7611511692,174.31442135,582.335,66.45,144.909759004
2014-07-03,45.85,26.082287709699997,4.24,21.2146700201,36.673415724899996,175.17171987900002,584.73,66.29,145.017447132
2014-07-07,44.532,25.9901537454,4.26,21.651913777399997,36.8401130691,174.56188896700004,582.25,65.29,144.640538687
2014-07-08,43.81399999999999,25.7891341869,4.22,21.512483105500003,36.655868636,173.439446564,571.09,62.76,144.00979394200002
2014-07-09,44.612,25.8728923363,4.23,21.5215077445,36.5593596473,174.21720193,576.08,64.97,144.932835032
2014-07-10,43.892,26.1827974889,4.29,21.4414140738,36.5725199639,173.527827855,571.1,64.8725,144.379010378
2014-07-11,43.62600000000001,26.174421674,4.37,21.4831530289,36.9278485134,173.76645734299996,579.18,66.34,144.60977065
2014-07-14,45.34,26.375441232399996,4.64,21.760660676799997,36.9717162356,174.641432129,584.87,67.9,146.040484339
2014-07-15,43.916,26.559709161,4.53,21.5057146263,37.243696113,174.31442135,584.78,67.165,144.986679095
2014-07-16,43.432,29.0221987521,4.66,21.383882000499998,38.6737838553,174.95960477900002,582.66,67.66,147.96348660799998
2014-07-17,43.08,28.2264963332,4.57,21.0025684431,39.0685933548,172.971025719,573.7299,66.4099,148.06348272600002
2014-07-18,44.00402,28.2264963332,3.83,21.3049164096,39.2089700657,174.73865155,595.08,68.4199,148.071174735
2014-07-21,44.108,28.5280256709,3.78,21.194138966500002,39.3361864599,174.41164077099998,589.47,69.4,146.801993237
2014-07-22,43.916,29.1395439193,3.8,21.370345042,39.3317996877,175.17171987900002,594.74,69.27,149.294204178
2014-07-23,44.49800000000001,28.896561528099998,3.76,21.9276164974,39.3668938654,175.56059756099998,595.98,71.29,148.940371761
2014-07-24,44.708,28.687166154699998,3.73,21.8915179416,38.9545372772,175.569435691,593.35,74.98,150.17878522200002
2014-07-25,44.714,28.687166154699998,3.76,22.0361377808,39.0422727215,174.747489679,589.02,75.19,149.53265646
2014-07-28,44.964,28.6704145248,3.73,22.340493729499997,38.5772748666,174.818194712,590.6,74.92,150.594153712
2014-07-29,45.002,28.636911265100004,3.79,22.1960995063,38.5026997389,174.066953734,585.61,73.71,149.663420614
2014-07-30,45.784,28.770924304,3.82,22.1442078323,38.2337906021,174.09346812099997,587.42,74.67699999999998,149.224976097
2014-07-31,44.66,28.385636816999998,3.91,21.568887099,37.866617767600005,170.65543588,571.6,72.65,147.43273798200002
2014-08-01,46.654,28.2641875004,3.97,21.6884635651,37.6034114347,170.13398625899998,566.07,72.36,145.494351694
2014-08-04,47.70399999999999,28.519649855999997,4.0,21.566630939299998,38.0508622007,171.36248621200002,573.15,73.51,145.871260139
2014-08-05,47.698,27.6778804549,4.08,21.4605914316,37.7964294122,169.700917931,565.07,72.69,143.917489833
2014-08-06,49.78602,27.6989635448,4.12,21.4244928757,37.4981289015,169.753946706,566.374,72.47,143.89441380600002
2014-08-07,50.478,27.5598151513,4.1,21.422236716,37.9280325786,168.834781273,563.36,73.17,142.602250172
2014-08-08,49.62600000000001,27.4923492636,4.12,21.481188679899997,37.9017119453,170.78800781700002,568.77,73.06,144.405089254
2014-08-11,51.864,27.846545174299997,4.14,21.7646115831,37.9017119453,171.28294305,567.88,73.44,145.055039825
2014-08-12,51.992,27.93931077,4.08,21.760076816599998,38.182465367199995,171.044313563,562.73,72.83,144.954452237
2014-08-13,52.062,28.7573346591,4.11,22.0480344863,38.6737838553,172.202108482,574.78,73.77,145.426440151
2014-08-14,52.276,28.622402883600007,4.08,22.1069864502,38.8404811995,173.01521636400003,574.65,74.296,145.372277603
2014-08-15,52.402,28.816367310900002,4.13,22.215820845,39.29670551,172.97986384799995,573.48,73.63,144.985402264
2014-08-18,51.988,29.0187649742,4.21,22.4833720656,39.577458931799995,174.429317029,582.16,74.59,146.517428609
2014-08-19,51.352,28.959732322399997,4.27,22.7940035675,40.016136153400005,175.339644333,586.86,75.29,147.066791591
2014-08-20,51.142,29.0946640979,4.28,22.8030731004,39.680682111100005,175.808065178,584.49,74.81,147.090004111
2014-08-21,50.868,29.642824435999998,4.24,22.8053404837,39.9190310359,176.32067666900002,583.37,74.57,147.964342379
